行政區,KML,Wiki,差異
三重県,20,21,-1
京都府,40,40,0
佐賀県,34,34,0
兵庫県,22,25,-3
北海道,242,260,-18
千葉県,29,30,-1
和歌山県,49,50,-1
埼玉県,2,3,-1
大分県,28,30,-2
大阪府,52,54,-2
奈良県,17,18,-1
宮城県,68,74,-6
宮崎県,33,33,0
富山県,32,31,1
山口県,27,28,-1
山形県,17,20,-3
山梨県,3,4,-1
岐阜県,28,29,-1
岡山県,44,44,0
岩手県,24,28,-4
島根県,54,55,-1
広島県,38,39,-1
徳島県,21,21,0
愛媛県,39,37,2
愛知県,40,41,-1
新潟県,0,5,-5
未知,47,0,47
東京都,143,143,0
栃木県,12,15,-3
沖縄県,0,9,-9
滋賀県,0,1,-1
熊本県,55,58,-3
石川県,35,36,-1
神奈川県,45,52,-7
福井県,29,33,-4
福岡県,83,84,-1
福島県,31,32,-1
秋田県,16,16,0
茨城県,45,44,1
長崎県,41,44,-3
長野県,22,22,0
青森県,45,46,-1
静岡県,28,28,0
香川県,10,13,-3
高知県,35,33,2
鳥取県,53,55,-2
鹿児島県,72,78,-6
